word,count
baby,253
oh,244
love,239
know,130
oop,127
like,123
got,121
yeah,114
let,113
girl,100
bird,96
ah,85
dance,83
heart,77
mow,74
little,69
come,68
pa,68
la,63
gon,59
day,58
na,55
way,54
doo,53
oooh,53
need,49
work,49
time,48
da,47
tell,42
round,39
shout,39
night,38
sunshine,38
want,37
cry,36
people,36
ooma,36
sweet,35
amen,35
shake,34
hear,33
surry,33
blue,32
mind,32
think,31
honey,31
yes,31
alley,30
thing,30
stand,30
eyes,30
right,28
good,28
ba,28
papa,28
wah,27
away,27
world,26
'cause,25
darlin,25
man,24
find,24
care,24
true,24
soul,24
wo,24
lovin',24
san,24
home,23
sun,23
place,23
word,22
daddy,21
kiss,21
stay,21
feel,21
sunny,21
sky,20
moon,20
everybody,20
hey,20
ta,20
getting,20
whoa,20
beat,20
wanna,20
life,20
rose,20
wop,20
long,19
going,19
loving,19
said,18
finally,18
dum,18
swim,18
hang,17
hold,17
turn,17
